1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;
0.816000;0.761000;0.991000;0.261000;0.636000;0.766000;0.431000;1.946000;0.056000;0.776000;0.641000;0.091000;0.996000;0.891000;0.206000;0.726000;0.061000;0.756000;0.141000;0.766000;0.191000;0.766000;0.826000;0.721000;0.206000;0.361000;0.971000;0.126000;0.021000;0.146000;0.206000;0.676000;0.211000;0.986000;0.756000;0.951000;0.996000;0.241000;0.961000;0.841000;0.636000;0.756000;0.661000;1.171000;7.361000;1.186000;0.221000;1.006000;0.016000;0.151000;0.896000;0.066000;0.756000;0.916000;0.721000;0.136000;0.226000;0.666000;0.131000;0.211000;0.361000;0.186000;0.806000;0.796000;0.746000;0.736000;0.736000;0.211000;0.986000;0.966000;0.151000;1.561000;0.981000;0.236000;0.231000;0.201000;0.176000;1.471000;0.916000;0.901000;0.836000;0.631000;0.641000;0.156000;0.681000;0.796000;0.796000;0.156000;1.951000;0.916000;0.101000;0.151000;0.191000;1.461000;0.426000;0.201000;0.976000;1.391000;0.231000;0.216000;0.811000;1.401000;0.171000;0.971000;0.166000;0.196000;0.721000;0.171000;0.226000;1.181000;0.831000;0.741000;0.161000;0.051000;0.236000;0.361000;0.821000;0.146000;0.951000;0.231000;0.236000;0.661000;0.141000;1.191000;0.201000;0.231000;0.191000;0.236000;0.196000;0.941000;0.171000;0.896000;1.001000;0.236000;6.346000;1.011000;0.641000;0.721000;0.766000;0.771000;0.176000;0.736000;0.241000;0.086000;0.646000;0.761000;0.751000;0.156000;0.801000;0.646000;0.356000;0.916000;0.991000;0.236000;0.651000;0.926000;0.011000;0.736000;0.231000;1.396000;0.231000;1.016000;1.451000;1.461000;0.226000;1.451000;0.901000;0.016000;0.656000;0.166000;0.181000;0.726000;0.731000;0.206000;0.766000;0.726000;0.136000;0.236000;0.946000;0.931000;3.326000;0.721000;0.151000;0.671000;0.201000;0.191000;0.226000;0.136000;0.166000;0.641000;1.831000;0.106000;0.146000;0.746000;0.986000;0.721000;0.836000;0.606000;0.141000;1.446000;0.726000;1.226000;0.156000;0.646000;0.731000;0.991000;0.736000;0.401000;0.726000;0.986000;0.671000;0.841000;1.821000;0.106000;0.156000;0.366000;0.766000;0.246000;0.991000;0.156000;0.196000;0.641000;0.796000;0.231000;0.371000;0.156000;0.241000;1.531000;0.136000;0.996000;0.141000;0.766000;1.471000;1.566000;0.751000;0.171000;1.241000;0.201000;0.196000;1.236000;0.196000;0.201000;0.176000;1.451000;0.241000;0.916000;0.841000;0.951000;0.141000;0.751000;
0.996000;1.466000;1.021000;0.716000;0.926000;0.791000;6.531000;2.881000;0.081000;0.931000;0.671000;0.206000;1.016000;0.926000;0.791000;1.566000;0.176000;0.896000;0.186000;0.986000;0.751000;0.831000;1.471000;1.011000;0.781000;0.906000;1.236000;0.641000;1.241000;0.961000;0.796000;0.896000;1.446000;1.971000;0.966000;0.981000;1.006000;0.916000;1.171000;0.901000;0.726000;0.921000;1.246000;1.226000;7.816000;1.461000;1.841000;1.436000;0.366000;0.181000;0.996000;0.851000;0.766000;0.991000;0.726000;0.766000;0.656000;0.681000;0.216000;0.751000;0.746000;0.656000;1.926000;0.986000;0.931000;0.746000;0.746000;0.726000;1.781000;1.236000;0.666000;1.971000;1.231000;0.986000;1.401000;1.811000;0.726000;1.811000;0.981000;1.001000;1.401000;0.986000;0.796000;4.431000;5.986000;0.906000;0.981000;0.961000;2.906000;0.921000;0.206000;0.981000;0.976000;1.951000;0.751000;0.221000;1.231000;4.416000;3.916000;0.846000;0.971000;1.441000;0.726000;1.976000;0.221000;0.731000;1.011000;1.446000;0.761000;1.241000;0.896000;0.996000;1.011000;0.161000;0.761000;1.226000;1.381000;0.991000;0.981000;0.991000;0.796000;0.731000;0.761000;1.406000;1.976000;0.746000;0.941000;1.236000;0.756000;0.991000;0.196000;0.956000;1.221000;0.661000;6.586000;1.441000;0.731000;0.741000;0.806000;1.801000;0.186000;0.756000;0.771000;0.726000;0.976000;1.971000;1.016000;0.741000;1.466000;0.901000;0.841000;1.231000;1.241000;0.241000;0.661000;1.966000;0.916000;0.951000;0.816000;1.836000;0.971000;2.901000;1.456000;1.466000;0.771000;1.841000;0.956000;0.146000;0.796000;1.856000;0.636000;0.911000;1.446000;0.236000;0.836000;0.956000;0.151000;0.776000;1.821000;0.966000;4.421000;2.946000;0.771000;0.751000;0.756000;0.646000;0.351000;0.196000;0.761000;0.911000;1.836000;0.981000;0.941000;0.986000;0.991000;0.806000;0.986000;0.991000;0.171000;1.731000;0.756000;1.466000;0.236000;0.771000;0.986000;1.411000;0.796000;2.281000;0.931000;1.226000;0.731000;0.906000;5.286000;0.971000;0.671000;0.931000;0.851000;0.746000;2.926000;0.171000;1.461000;0.731000;0.841000;0.506000;0.641000;0.216000;0.756000;1.816000;0.991000;1.016000;0.156000;1.426000;1.806000;2.886000;0.766000;0.901000;1.401000;0.646000;0.756000;5.906000;0.776000;0.646000;0.206000;1.951000;0.766000;0.986000;1.246000;1.181000;0.996000;0.761000;
1.011000;1.811000;1.441000;0.801000;1.236000;0.971000;6.716000;5.921000;0.731000;0.941000;0.801000;0.971000;1.806000;0.986000;0.991000;5.916000;0.241000;0.981000;0.216000;1.351000;0.766000;0.966000;2.121000;1.256000;0.841000;1.001000;1.441000;0.756000;1.451000;1.171000;1.441000;0.941000;1.566000;3.291000;1.236000;4.451000;1.011000;0.976000;1.856000;0.921000;0.761000;0.986000;1.776000;1.301000;8.056000;3.641000;2.881000;4.396000;0.801000;0.716000;1.181000;1.836000;0.821000;1.006000;0.941000;0.796000;0.801000;0.756000;0.226000;0.806000;0.791000;0.786000;1.941000;2.886000;0.966000;0.991000;0.976000;0.966000;2.506000;1.456000;0.741000;2.886000;1.476000;1.451000;1.441000;1.836000;1.246000;1.871000;1.251000;1.986000;1.441000;1.231000;1.016000;6.336000;6.736000;0.966000;1.461000;0.991000;4.081000;0.956000;0.731000;0.991000;1.251000;1.961000;1.296000;0.231000;1.971000;4.431000;4.161000;0.921000;1.431000;3.931000;0.796000;2.511000;0.716000;1.936000;4.301000;1.841000;0.781000;1.466000;1.011000;1.251000;1.236000;3.626000;0.806000;1.231000;1.476000;1.226000;1.406000;1.016000;0.841000;0.946000;0.981000;2.936000;3.311000;1.496000;0.971000;1.246000;0.976000;1.016000;0.236000;0.961000;1.836000;0.936000;6.751000;1.806000;0.786000;0.986000;1.391000;2.066000;0.236000;0.991000;0.981000;0.761000;1.451000;6.361000;1.231000;1.246000;1.836000;1.246000;1.451000;2.861000;1.431000;0.661000;0.711000;2.876000;0.951000;1.851000;1.456000;1.846000;1.961000;4.086000;1.811000;4.206000;0.791000;3.621000;1.486000;0.731000;1.441000;3.931000;0.651000;0.951000;1.451000;0.921000;0.926000;0.966000;0.181000;0.971000;1.971000;0.991000;6.011000;4.411000;0.826000;0.946000;0.791000;0.971000;0.646000;0.231000;0.981000;0.966000;1.961000;0.996000;0.981000;1.001000;1.221000;0.976000;1.456000;1.441000;0.731000;1.801000;0.976000;1.876000;0.451000;0.796000;1.006000;1.436000;0.901000;2.541000;1.841000;1.231000;0.801000;0.971000;7.776000;0.991000;0.811000;1.961000;0.996000;0.996000;4.406000;1.021000;1.836000;1.181000;1.466000;0.951000;1.836000;0.746000;0.996000;1.951000;1.241000;1.491000;1.001000;1.531000;1.986000;4.361000;0.796000;0.931000;1.971000;0.681000;0.941000;6.406000;0.796000;1.456000;1.441000;4.091000;1.181000;1.786000;1.951000;1.186000;1.401000;1.441000;
1.476000;1.831000;1.786000;0.851000;1.436000;1.006000;8.061000;5.996000;0.791000;1.446000;0.906000;0.986000;1.966000;1.806000;4.401000;6.186000;0.796000;0.986000;0.716000;1.421000;1.401000;0.996000;2.691000;1.936000;1.241000;1.241000;1.941000;0.801000;2.881000;1.936000;1.446000;1.401000;2.881000;3.316000;1.466000;5.431000;1.481000;0.981000;1.946000;0.981000;0.931000;1.541000;1.826000;1.466000;10.596000;7.301000;4.426000;4.571000;0.891000;0.766000;1.186000;2.981000;0.841000;4.436000;0.961000;0.946000;0.836000;0.821000;0.971000;0.991000;1.236000;0.946000;1.961000;3.316000;1.356000;1.481000;0.981000;0.991000;2.976000;1.781000;0.751000;5.231000;1.816000;1.811000;1.466000;1.991000;1.391000;2.926000;1.396000;2.881000;1.456000;1.831000;1.566000;6.711000;6.766000;0.976000;1.961000;1.801000;5.186000;0.996000;0.771000;1.441000;1.461000;4.211000;2.756000;0.961000;2.711000;4.446000;4.356000;0.991000;2.921000;5.731000;0.991000;4.081000;0.791000;3.626000;4.401000;1.966000;1.211000;1.941000;1.166000;1.446000;1.451000;6.581000;0.996000;1.411000;1.521000;1.476000;1.441000;1.971000;0.986000;0.986000;1.396000;3.301000;5.981000;1.926000;0.996000;1.531000;1.006000;1.156000;0.641000;1.001000;4.406000;0.971000;7.846000;1.836000;1.401000;1.001000;1.806000;2.891000;0.556000;1.396000;1.436000;0.961000;1.461000;6.431000;2.881000;1.461000;1.951000;1.391000;1.966000;4.461000;3.306000;0.731000;0.846000;2.921000;1.226000;1.961000;1.821000;1.971000;1.976000;5.946000;1.951000;4.416000;0.991000;5.921000;1.821000;0.966000;1.491000;4.276000;0.656000;0.971000;1.951000;0.971000;1.806000;1.226000;1.226000;1.401000;2.946000;1.221000;6.391000;6.686000;0.911000;1.236000;1.231000;1.001000;1.251000;0.971000;0.986000;1.376000;1.971000;1.186000;0.996000;1.231000;1.831000;1.001000;1.466000;1.846000;0.736000;2.901000;0.986000;3.296000;0.666000;0.801000;1.806000;1.816000;1.191000;2.976000;6.761000;1.401000;0.966000;1.256000;7.836000;0.996000;1.401000;4.406000;1.411000;1.016000;4.421000;1.241000;1.851000;1.941000;1.566000;0.986000;6.781000;0.756000;1.241000;1.966000;1.451000;3.931000;1.226000;2.771000;2.526000;6.716000;0.961000;0.981000;1.976000;0.731000;1.151000;6.781000;0.916000;1.836000;1.976000;7.281000;1.411000;1.976000;2.926000;1.476000;1.471000;1.461000;
2.921000;1.941000;1.836000;0.951000;1.456000;1.181000;9.151000;6.751000;0.936000;2.916000;0.961000;1.001000;2.881000;1.846000;6.571000;6.411000;0.846000;1.236000;0.996000;1.946000;1.456000;1.016000;2.906000;1.971000;1.436000;1.471000;1.976000;0.871000;2.936000;2.886000;1.846000;1.461000;2.926000;5.416000;1.796000;6.751000;3.721000;0.986000;1.986000;1.226000;5.401000;1.966000;4.296000;1.536000;13.236000;7.836000;4.436000;5.916000;0.921000;1.221000;1.416000;4.091000;0.986000;5.386000;0.986000;0.976000;4.076000;0.941000;0.996000;1.241000;1.451000;0.966000;1.971000;3.481000;4.431000;1.551000;1.446000;1.971000;4.571000;1.971000;0.846000;5.721000;1.856000;1.971000;1.971000;2.066000;1.461000;3.626000;1.431000;5.896000;4.431000;2.881000;1.666000;8.801000;7.221000;1.441000;3.706000;1.826000;7.306000;1.006000;0.976000;1.471000;1.831000;4.221000;2.906000;0.971000;3.281000;7.321000;5.911000;1.471000;4.106000;6.611000;1.466000;4.506000;0.926000;5.901000;4.946000;2.911000;1.951000;1.961000;1.186000;1.546000;1.491000;7.236000;1.161000;1.421000;1.676000;1.806000;1.456000;1.976000;1.401000;1.021000;2.906000;5.336000;7.276000;1.961000;1.391000;1.966000;1.236000;1.861000;0.981000;1.176000;4.441000;1.236000;9.386000;1.971000;1.956000;1.381000;1.921000;2.961000;0.751000;1.526000;5.881000;0.981000;3.721000;7.186000;3.316000;1.471000;2.761000;1.461000;4.446000;5.976000;4.741000;0.971000;0.996000;2.981000;2.906000;2.926000;1.961000;1.981000;3.491000;5.991000;2.521000;6.566000;1.231000;6.781000;1.956000;0.976000;2.876000;5.426000;0.831000;0.976000;2.876000;0.986000;1.811000;1.801000;1.236000;1.436000;2.951000;1.406000;6.726000;6.726000;0.976000;1.471000;1.931000;1.946000;1.391000;0.981000;1.216000;1.451000;2.921000;1.976000;1.176000;1.461000;2.066000;1.006000;1.961000;3.701000;0.986000;2.951000;1.256000;3.316000;0.996000;1.486000;4.301000;1.846000;1.426000;3.486000;7.836000;1.461000;1.801000;1.566000;8.086000;1.226000;1.961000;5.881000;1.416000;1.031000;5.231000;1.461000;1.956000;1.966000;4.166000;1.246000;7.276000;0.996000;1.256000;1.971000;1.846000;4.476000;1.986000;4.356000;5.266000;6.736000;4.091000;1.016000;6.681000;1.176000;1.406000;7.241000;0.951000;1.936000;1.991000;8.406000;1.426000;2.911000;2.946000;1.966000;1.806000;1.471000;
4.411000;4.076000;1.971000;1.221000;4.571000;1.426000;9.191000;7.291000;0.996000;3.296000;0.991000;1.836000;4.096000;1.966000;6.581000;6.611000;0.986000;1.411000;1.011000;2.906000;1.786000;1.256000;4.086000;5.881000;1.966000;4.276000;2.961000;0.916000;4.211000;2.911000;2.916000;1.816000;6.536000;5.926000;2.751000;7.306000;4.421000;1.181000;4.076000;1.466000;5.436000;2.061000;4.501000;2.866000;14.001000;13.136000;4.461000;5.981000;0.966000;1.241000;1.941000;4.291000;0.996000;5.841000;1.181000;0.981000;4.216000;1.191000;1.006000;1.456000;1.951000;0.976000;1.991000;6.446000;4.501000;1.831000;1.551000;2.901000;6.711000;2.956000;0.956000;5.991000;4.431000;2.946000;1.976000;2.916000;1.801000;5.941000;1.806000;7.231000;5.226000;4.406000;1.941000;9.456000;7.291000;1.491000;4.091000;1.981000;9.206000;1.176000;1.251000;1.821000;2.766000;4.431000;3.621000;0.976000;3.711000;7.791000;7.241000;1.986000;4.441000;6.626000;1.471000;5.186000;0.981000;6.206000;6.406000;5.311000;3.616000;4.506000;1.236000;1.736000;1.961000;7.851000;1.966000;1.461000;4.141000;1.821000;2.896000;3.296000;1.831000;1.556000;4.486000;6.411000;7.371000;2.871000;1.446000;1.971000;1.396000;1.966000;0.991000;1.436000;4.476000;1.806000;10.101000;2.916000;2.901000;1.976000;1.961000;2.971000;0.826000;1.971000;5.911000;0.986000;3.986000;7.296000;3.476000;2.366000;2.976000;2.936000;4.491000;6.306000;5.976000;2.911000;1.396000;5.911000;4.291000;4.161000;1.981000;4.421000;3.706000;6.341000;3.616000;6.781000;1.241000;9.216000;3.476000;1.456000;3.486000;6.511000;0.966000;1.001000;4.496000;1.941000;1.826000;1.966000;1.246000;1.461000;4.076000;1.456000;6.761000;6.936000;0.991000;1.956000;1.956000;4.416000;1.446000;1.826000;1.236000;4.351000;3.616000;2.066000;1.451000;2.061000;3.311000;1.236000;1.981000;3.716000;1.231000;5.956000;1.981000;4.436000;1.271000;1.941000;4.496000;1.991000;1.976000;3.491000;7.846000;1.836000;2.531000;4.446000;8.811000;1.461000;1.976000;5.981000;1.971000;1.356000;6.191000;2.231000;2.061000;2.901000;5.256000;1.441000;7.851000;1.441000;1.466000;2.926000;1.976000;5.961000;3.986000;4.441000;5.406000;6.746000;7.571000;1.236000;7.846000;1.306000;2.066000;7.316000;0.991000;1.941000;3.201000;9.151000;1.451000;2.981000;5.271000;4.081000;1.966000;1.836000;
5.861000;4.081000;1.976000;1.811000;6.776000;1.451000;9.456000;7.316000;1.166000;3.311000;1.181000;3.316000;4.216000;1.971000;6.781000;6.706000;1.241000;1.451000;1.026000;2.981000;1.846000;1.426000;6.771000;7.636000;1.981000;5.416000;5.926000;0.991000;4.216000;3.291000;5.726000;2.906000;7.136000;5.951000;2.761000;7.776000;5.906000;1.241000;4.086000;1.471000;5.976000;2.976000;5.411000;6.356000;14.721000;13.206000;5.866000;6.756000;1.231000;1.481000;1.961000;4.431000;1.001000;6.391000;1.446000;1.176000;4.226000;1.466000;1.221000;1.471000;1.966000;1.001000;4.201000;6.541000;5.551000;1.951000;2.876000;4.071000;6.736000;4.076000;1.956000;7.276000;4.686000;3.716000;2.891000;3.486000;2.716000;6.586000;1.836000;7.981000;5.911000;4.421000;1.976000;9.461000;8.081000;1.956000;5.391000;2.901000;10.106000;1.471000;3.616000;1.971000;3.891000;5.311000;7.151000;0.986000;4.086000;9.481000;7.286000;4.441000;5.571000;6.676000;2.896000;5.546000;1.816000;6.541000;6.701000;5.946000;4.211000;5.526000;1.971000;1.871000;2.916000;9.251000;2.131000;1.551000;4.211000;1.826000;4.446000;5.426000;1.846000;1.966000;4.496000;7.856000;7.376000;4.201000;1.811000;2.526000;1.401000;2.536000;1.456000;1.966000;6.521000;1.941000;10.611000;4.356000;3.926000;3.921000;2.886000;3.471000;0.976000;2.521000;5.976000;1.026000;5.386000;9.251000;4.286000;4.086000;4.086000;3.296000;6.706000;6.786000;6.746000;3.926000;1.456000;7.266000;4.406000;4.411000;1.991000;4.441000;4.961000;6.441000;3.621000;7.311000;1.246000;9.511000;4.271000;2.071000;3.931000;6.601000;0.986000;1.181000;7.221000;4.216000;1.966000;2.756000;1.251000;1.806000;5.421000;1.461000;6.771000;7.946000;1.816000;1.961000;1.966000;4.691000;1.831000;1.936000;1.241000;6.216000;6.701000;3.991000;1.866000;4.406000;5.556000;1.396000;4.211000;4.081000;1.416000;7.296000;2.506000;6.346000;1.821000;1.956000;6.781000;4.486000;2.071000;4.301000;8.391000;2.006000;3.716000;5.351000;9.356000;2.886000;4.446000;7.241000;2.921000;1.981000;6.716000;4.101000;4.411000;2.936000;6.941000;1.531000;8.756000;1.466000;1.471000;4.361000;2.886000;6.346000;4.721000;5.351000;6.306000;7.736000;8.381000;1.406000;7.996000;1.471000;4.486000;8.241000;0.996000;1.961000;4.081000;9.371000;1.531000;3.621000;7.316000;5.731000;1.971000;5.441000;
7.231000;4.101000;1.991000;6.551000;7.506000;1.846000;10.761000;7.811000;1.226000;4.206000;1.486000;4.081000;4.406000;1.976000;10.091000;6.736000;1.451000;2.951000;1.236000;3.316000;1.981000;1.801000;7.791000;7.831000;3.316000;5.836000;6.731000;1.001000;5.446000;5.406000;6.396000;2.946000;7.771000;6.771000;4.221000;8.686000;6.566000;2.946000;4.496000;4.396000;6.336000;3.296000;5.441000;6.526000;15.611000;13.451000;5.906000;6.776000;1.681000;1.961000;1.966000;6.531000;1.446000;6.426000;1.821000;1.246000;4.296000;1.471000;1.241000;1.556000;1.991000;1.226000;6.346000;6.716000;7.231000;2.526000;3.981000;4.956000;7.341000;4.426000;2.921000;7.831000;5.416000;4.101000;2.986000;4.286000;4.086000;6.741000;1.841000;8.396000;6.606000;4.566000;2.061000;13.071000;9.186000;4.071000;6.006000;2.951000;10.586000;1.956000;4.296000;2.911000;4.476000;5.441000;7.356000;1.846000;4.411000;10.926000;7.991000;5.971000;6.186000;7.281000;3.311000;6.671000;1.841000;7.176000;6.746000;6.181000;4.406000;5.921000;1.976000;1.976000;7.231000;10.601000;4.081000;1.796000;6.771000;1.866000;5.071000;5.561000;1.931000;3.926000;6.426000;9.456000;7.511000;5.981000;2.921000;2.746000;1.561000;2.946000;1.816000;1.971000;6.756000;2.966000;12.161000;4.466000;4.426000;4.076000;2.956000;4.101000;0.996000;3.936000;6.576000;1.386000;5.896000;9.336000;4.411000;4.156000;4.471000;4.171000;6.731000;7.851000;8.136000;4.216000;1.816000;7.376000;4.436000;4.481000;5.536000;4.736000;6.751000;6.701000;4.076000;7.761000;1.466000;10.146000;4.426000;2.916000;6.446000;6.751000;1.016000;1.251000;7.331000;6.756000;4.426000;4.496000;1.951000;1.816000;5.891000;1.466000;7.321000;8.756000;1.836000;1.976000;1.981000;4.731000;1.851000;1.961000;1.421000;7.226000;6.726000;5.956000;1.971000;4.431000;5.971000;1.841000;4.436000;4.436000;1.966000;7.766000;2.886000;6.536000;1.971000;2.886000;7.756000;5.431000;4.086000;4.416000;10.101000;2.281000;4.086000;5.956000;9.621000;2.951000;4.491000;7.511000;3.296000;2.881000;6.761000;4.291000;5.331000;4.091000;7.141000;1.556000;9.396000;1.941000;2.921000;4.436000;3.301000;6.701000;5.411000;5.921000;6.401000;7.796000;12.971000;1.431000;8.141000;1.831000;5.226000;8.561000;1.401000;1.976000;5.916000;9.461000;1.941000;3.931000;7.771000;6.446000;2.061000;5.956000;
7.801000;4.301000;2.651000;6.721000;7.856000;1.956000;10.911000;8.021000;1.811000;4.431000;1.821000;4.446000;6.696000;2.936000;10.636000;6.746000;1.971000;4.431000;1.246000;4.076000;1.986000;1.811000;8.076000;7.951000;4.291000;6.766000;7.256000;1.216000;5.951000;5.941000;6.626000;2.951000;8.121000;6.781000;5.006000;9.211000;7.676000;4.426000;5.921000;4.411000;6.571000;3.301000;7.756000;6.676000;16.281000;13.456000;10.116000;7.231000;6.516000;2.901000;2.921000;6.536000;1.831000;6.766000;2.901000;1.466000;5.291000;1.486000;1.256000;1.826000;2.896000;1.401000;6.416000;6.776000;7.306000;2.966000;4.081000;6.326000;7.761000;5.956000;2.971000;8.016000;5.916000;5.551000;3.926000;4.346000;5.231000;7.296000;4.086000;10.581000;7.516000;5.936000;2.071000;13.096000;9.461000;5.306000;6.381000;2.966000;10.856000;5.411000;5.551000;3.171000;5.916000;6.426000;7.776000;1.956000;6.356000;12.121000;8.001000;7.801000;6.541000;7.336000;4.081000;6.731000;1.931000;8.566000;7.276000;6.566000;6.536000;6.736000;2.126000;5.951000;7.521000;11.236000;4.091000;1.831000;8.746000;1.991000;5.401000;5.906000;2.501000;4.216000;6.441000;9.471000;7.541000;6.561000;2.941000;3.286000;1.841000;2.951000;1.841000;2.961000;6.771000;4.091000;14.051000;4.511000;6.731000;4.211000;3.016000;5.716000;1.401000;4.096000;6.736000;1.411000;6.761000;9.366000;4.436000;5.541000;5.401000;4.201000;6.746000;8.331000;9.461000;4.481000;1.956000;7.756000;4.486000;7.216000;6.711000;5.316000;7.386000;6.721000;4.416000;7.781000;4.416000;10.926000;6.351000;4.086000;6.751000;6.801000;1.206000;1.966000;7.336000;7.851000;7.691000;5.971000;1.961000;1.966000;6.221000;1.976000;7.826000;10.156000;1.966000;1.986000;1.986000;5.921000;3.291000;1.976000;1.531000;7.241000;7.366000;7.801000;1.981000;4.441000;6.726000;1.951000;4.456000;5.901000;2.926000;7.771000;3.616000;6.601000;1.991000;3.476000;7.816000;5.906000;6.001000;4.441000;10.186000;2.286000;5.351000;6.331000;12.161000;2.971000;5.311000;7.741000;3.316000;2.891000;7.181000;5.396000;6.716000;6.731000;7.516000;1.736000;13.101000;1.961000;3.291000;7.251000;4.406000;7.856000;5.856000;6.201000;6.781000;8.411000;13.111000;1.471000;8.571000;2.521000;5.426000;9.441000;1.421000;4.436000;5.981000;9.496000;2.531000;4.501000;7.776000;6.701000;2.756000;9.191000;
7.856000;4.426000;6.191000;7.441000;8.081000;3.311000;10.921000;8.396000;1.826000;4.491000;1.836000;5.966000;6.731000;2.961000;11.106000;8.306000;2.901000;5.416000;1.856000;4.296000;2.516000;1.826000;8.246000;9.431000;4.441000;7.656000;7.521000;1.426000;7.226000;5.991000;6.741000;7.756000;10.936000;7.296000;5.296000;9.481000;7.986000;4.491000;5.956000;5.411000;6.606000;4.416000;8.026000;6.746000;17.566000;14.376000;12.671000;7.301000;6.526000;4.081000;2.956000;6.616000;1.946000;6.776000;2.916000;1.816000;5.381000;1.831000;1.396000;1.946000;4.431000;1.406000;6.546000;7.141000;7.776000;4.086000;4.161000;6.406000;7.806000;6.341000;3.296000;8.391000;7.171000;5.891000;4.211000;4.446000;5.556000;7.316000;4.361000;12.171000;7.851000;7.776000;2.756000;15.156000;10.176000;6.226000;6.446000;3.321000;11.266000;5.846000;5.951000;4.221000;6.741000;6.431000;8.401000;2.771000;6.381000;13.341000;8.031000;7.836000;6.741000;8.136000;4.101000;7.221000;1.956000;9.366000;7.631000;6.761000;6.711000;6.756000;2.886000;6.361000;7.686000;11.291000;4.476000;3.286000;9.481000;3.621000;5.436000;5.931000;3.716000;6.296000;6.681000;10.091000;7.796000;6.751000;4.291000;3.311000;1.866000;3.976000;1.971000;3.311000;7.311000;5.551000;14.791000;5.411000;6.786000;4.356000;4.491000;5.891000;1.936000;4.421000;7.756000;1.451000;7.171000;9.401000;5.856000;5.901000;5.881000;5.981000;7.151000;9.236000;9.506000;5.411000;2.931000;7.766000;5.421000;7.791000;6.751000;6.401000;7.516000;7.276000;4.421000;7.841000;4.426000;12.631000;6.416000;5.051000;6.781000;7.136000;1.466000;4.071000;7.511000;9.191000;8.366000;6.486000;1.971000;4.086000;6.291000;2.886000;8.066000;10.651000;2.056000;3.316000;1.996000;6.411000;3.886000;2.276000;1.961000;7.816000;7.506000;8.841000;2.881000;5.841000;6.751000;1.986000;5.876000;6.341000;5.871000;8.031000;4.691000;6.701000;2.881000;3.926000;7.991000;5.956000;6.436000;6.716000;10.916000;2.971000;5.976000;7.276000;13.101000;4.106000;6.396000;8.921000;3.896000;2.981000;7.241000;5.871000;6.776000;6.781000;7.636000;1.816000;13.231000;4.106000;3.491000;7.806000;4.416000;8.756000;5.976000;6.761000;6.931000;8.551000;13.351000;1.826000;10.501000;2.926000;5.861000;10.581000;1.461000;5.881000;6.486000;10.161000;3.151000;4.686000;7.791000;7.136000;2.771000;9.466000;
