1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;
0.461000;2.676000;2.891000;1.136000;2.356000;3.786000;1.016000;3.131000;2.221000;0.531000;2.001000;1.146000;1.996000;1.731000;2.536000;1.146000;1.001000;2.231000;2.771000;2.226000;0.536000;0.456000;0.996000;1.741000;1.201000;0.731000;0.691000;1.971000;1.001000;2.356000;2.296000;0.746000;0.321000;1.196000;1.916000;2.326000;0.331000;0.696000;2.211000;2.126000;2.521000;3.371000;1.121000;0.726000;0.316000;2.791000;1.501000;0.451000;1.136000;2.521000;2.886000;1.136000;1.976000;3.136000;0.581000;1.131000;0.696000;2.346000;2.216000;1.141000;2.426000;1.151000;1.391000;1.001000;2.531000;3.271000;0.276000;1.021000;1.991000;0.316000;2.541000;2.221000;2.651000;1.921000;1.141000;2.376000;0.701000;0.721000;2.211000;1.021000;0.496000;2.376000;2.341000;0.336000;0.701000;3.146000;1.981000;2.291000;2.656000;2.216000;1.131000;2.526000;0.306000;3.156000;2.771000;1.926000;0.191000;2.891000;0.576000;1.026000;4.036000;2.211000;0.501000;2.526000;0.506000;0.476000;0.281000;1.891000;2.441000;2.516000;3.661000;2.351000;3.071000;2.331000;2.196000;1.006000;2.001000;0.741000;2.341000;1.586000;1.011000;2.126000;0.446000;0.311000;2.826000;2.316000;0.451000;0.696000;1.016000;0.311000;1.021000;0.316000;4.051000;2.726000;0.716000;0.296000;2.656000;0.466000;0.546000;2.686000;1.911000;0.316000;0.531000;0.406000;0.401000;0.331000;3.116000;1.136000;2.526000;0.316000;0.141000;2.216000;2.131000;1.981000;0.706000;1.901000;0.701000;1.206000;2.796000;0.511000;2.311000;2.611000;0.741000;0.551000;2.671000;0.501000;2.371000;0.711000;1.996000;1.906000;3.006000;2.541000;1.016000;2.211000;3.281000;0.311000;1.026000;0.576000;0.691000;0.571000;1.126000;2.651000;2.331000;0.506000;0.731000;2.551000;2.421000;1.201000;0.211000;2.351000;0.526000;0.541000;0.441000;2.221000;0.301000;0.456000;1.896000;0.406000;1.011000;2.216000;2.531000;2.531000;2.331000;1.926000;0.461000;0.506000;3.461000;1.591000;0.191000;0.706000;1.901000;1.926000;3.791000;0.456000;2.236000;1.141000;2.131000;0.461000;2.231000;2.206000;2.301000;3.091000;2.236000;1.206000;1.901000;2.791000;2.676000;0.326000;1.141000;1.926000;0.146000;0.506000;2.556000;1.006000;2.661000;1.046000;2.346000;1.031000;1.216000;0.551000;1.901000;0.316000;2.321000;0.481000;1.141000;0.731000;0.316000;0.691000;1.926000;0.316000;
3.101000;2.886000;3.141000;1.146000;3.126000;4.006000;1.031000;4.001000;2.646000;1.156000;2.316000;2.846000;2.321000;2.336000;2.636000;2.226000;1.816000;2.796000;3.291000;3.131000;2.206000;1.176000;1.566000;2.206000;2.656000;2.286000;1.141000;2.226000;2.656000;2.431000;2.871000;3.156000;1.211000;2.666000;2.546000;2.546000;1.736000;1.216000;4.396000;2.241000;2.541000;4.041000;3.416000;1.821000;2.346000;2.806000;3.106000;1.031000;2.361000;2.836000;3.141000;2.526000;2.346000;4.001000;1.136000;1.386000;1.181000;2.351000;2.231000;2.531000;2.516000;1.966000;1.961000;2.341000;2.831000;7.486000;1.216000;1.136000;2.371000;1.166000;2.666000;2.876000;2.831000;3.851000;2.221000;2.661000;0.736000;2.356000;2.221000;2.841000;2.336000;2.516000;2.621000;1.901000;2.216000;3.391000;2.626000;2.611000;3.231000;2.241000;2.206000;2.626000;3.106000;3.386000;3.101000;2.356000;0.311000;3.261000;1.126000;1.166000;4.951000;2.621000;1.746000;2.836000;1.016000;0.531000;2.336000;2.216000;2.551000;3.146000;3.831000;2.556000;3.126000;3.401000;3.176000;2.326000;3.076000;2.351000;2.356000;2.351000;1.821000;2.131000;0.726000;1.161000;3.276000;2.336000;0.871000;2.426000;2.721000;2.346000;2.676000;1.026000;4.061000;3.121000;1.186000;2.651000;3.676000;2.216000;2.231000;3.116000;2.506000;2.216000;2.361000;2.351000;2.211000;1.036000;3.121000;2.216000;3.096000;0.686000;1.021000;2.221000;3.211000;2.556000;2.211000;1.931000;2.216000;1.216000;2.841000;2.616000;2.496000;3.301000;3.266000;2.621000;3.286000;2.526000;2.761000;2.341000;2.336000;1.921000;3.121000;2.901000;1.141000;2.681000;3.406000;1.326000;1.231000;2.311000;2.206000;1.236000;4.931000;2.666000;2.661000;2.346000;0.796000;3.096000;2.506000;2.541000;2.386000;3.436000;1.026000;0.701000;0.536000;2.341000;0.326000;2.376000;3.261000;0.541000;2.646000;3.656000;6.796000;3.146000;3.446000;2.311000;0.706000;2.376000;3.596000;2.871000;0.411000;1.166000;2.221000;1.996000;3.821000;1.126000;3.396000;1.391000;2.221000;1.026000;2.356000;2.546000;2.521000;3.116000;2.906000;1.926000;3.061000;2.831000;2.806000;1.826000;2.216000;1.981000;0.876000;1.996000;2.851000;2.666000;3.131000;2.176000;2.631000;2.211000;1.506000;0.736000;2.526000;1.746000;2.656000;1.036000;1.996000;1.236000;3.086000;2.246000;2.356000;2.221000;
3.391000;3.406000;3.411000;2.216000;3.141000;4.971000;1.971000;4.486000;2.656000;2.211000;2.501000;4.031000;3.001000;3.286000;3.101000;2.511000;1.986000;2.841000;3.796000;3.196000;2.336000;1.906000;2.316000;2.296000;2.836000;2.791000;2.221000;3.156000;2.671000;2.601000;3.111000;3.831000;1.921000;5.461000;2.651000;2.811000;2.231000;2.606000;5.241000;3.491000;2.721000;4.401000;4.446000;1.991000;3.281000;2.881000;3.386000;1.321000;3.221000;2.841000;3.406000;2.611000;2.436000;4.961000;1.141000;2.906000;2.321000;2.831000;2.331000;2.631000;2.836000;2.491000;2.221000;2.716000;3.106000;7.571000;2.306000;2.846000;2.766000;1.206000;2.786000;3.391000;2.851000;5.156000;2.801000;2.816000;2.211000;3.411000;2.651000;3.086000;2.361000;6.821000;2.666000;2.331000;2.536000;4.071000;2.866000;2.781000;3.441000;2.831000;2.346000;2.746000;8.196000;3.396000;3.136000;2.441000;3.106000;3.286000;3.111000;2.331000;5.231000;2.871000;1.996000;2.896000;2.236000;2.311000;2.376000;2.831000;2.616000;3.276000;3.986000;2.671000;3.401000;3.406000;3.211000;2.786000;3.111000;2.546000;2.531000;2.676000;1.901000;2.826000;1.016000;1.191000;3.446000;2.381000;2.516000;3.111000;3.111000;2.626000;2.836000;2.611000;5.356000;3.151000;2.501000;3.236000;3.686000;2.866000;2.316000;5.856000;2.531000;2.311000;3.376000;3.121000;2.666000;2.446000;3.441000;2.841000;3.806000;2.246000;1.036000;2.546000;3.976000;3.106000;2.366000;3.121000;3.091000;2.441000;2.851000;2.661000;3.396000;3.431000;3.391000;3.141000;3.791000;3.126000;2.886000;2.841000;2.896000;2.321000;3.391000;3.431000;2.756000;2.741000;3.836000;2.776000;1.896000;2.436000;2.606000;2.766000;6.791000;2.826000;2.771000;2.546000;2.606000;3.106000;3.286000;2.666000;3.276000;8.166000;2.311000;1.986000;1.981000;2.661000;1.206000;2.801000;3.816000;2.201000;3.081000;4.771000;8.936000;3.861000;5.141000;2.511000;2.541000;2.551000;4.991000;3.691000;1.026000;2.841000;2.611000;2.531000;4.371000;2.516000;3.411000;2.771000;2.631000;1.806000;2.851000;2.661000;2.626000;3.406000;3.401000;2.446000;3.441000;3.131000;3.461000;2.771000;2.381000;2.446000;2.131000;2.561000;3.076000;2.841000;3.791000;2.226000;3.176000;2.216000;2.131000;2.001000;2.841000;1.901000;2.666000;1.916000;2.906000;2.316000;3.096000;3.401000;2.441000;2.556000;
3.411000;3.796000;3.801000;2.346000;3.831000;5.836000;2.351000;5.211000;3.171000;2.811000;3.116000;4.626000;3.151000;3.616000;3.121000;2.656000;2.521000;3.671000;3.821000;3.401000;2.666000;2.326000;3.061000;2.511000;3.101000;2.861000;3.786000;3.281000;3.286000;2.816000;3.426000;4.966000;2.436000;7.556000;2.671000;3.121000;2.316000;2.626000;5.861000;3.806000;3.166000;4.966000;4.986000;2.221000;4.041000;3.281000;3.396000;2.221000;3.426000;4.036000;4.411000;2.656000;2.661000;5.201000;2.961000;4.161000;3.281000;3.411000;2.616000;2.671000;3.101000;3.156000;2.356000;3.276000;3.236000;7.746000;2.331000;3.101000;3.206000;2.421000;3.136000;3.421000;2.881000;5.366000;3.586000;2.881000;2.506000;3.791000;2.826000;3.131000;2.671000;7.566000;2.766000;2.356000;3.386000;6.701000;2.896000;3.111000;4.976000;2.846000;2.846000;3.146000;8.721000;3.431000;3.411000;3.211000;3.966000;3.826000;3.276000;2.351000;6.896000;3.201000;2.306000;3.586000;2.846000;2.496000;2.531000;3.126000;2.836000;3.396000;4.961000;2.786000;3.421000;3.661000;3.761000;3.406000;3.271000;3.836000;2.666000;2.791000;2.526000;2.831000;2.346000;2.541000;3.676000;2.846000;2.536000;3.116000;3.406000;2.666000;2.891000;2.616000;5.871000;3.396000;2.666000;3.241000;4.001000;3.141000;3.381000;6.221000;2.626000;2.541000;3.826000;3.146000;3.116000;2.661000;3.671000;4.641000;4.436000;2.521000;1.211000;2.656000;4.061000;3.146000;2.756000;3.806000;3.116000;3.126000;3.576000;2.671000;3.416000;3.796000;3.451000;3.461000;4.646000;4.801000;3.151000;3.146000;3.066000;2.361000;3.891000;4.046000;2.826000;3.131000;4.381000;3.401000;3.131000;2.511000;3.266000;3.426000;7.941000;2.831000;2.826000;2.626000;2.641000;3.271000;3.391000;2.701000;4.036000;8.921000;3.101000;2.211000;2.321000;2.761000;2.341000;3.126000;3.831000;2.306000;3.811000;5.191000;10.781000;5.596000;5.611000;2.651000;2.906000;2.606000;5.241000;3.891000;1.236000;3.211000;2.666000;2.791000;4.771000;2.626000;3.811000;3.116000;2.841000;2.256000;2.891000;2.671000;2.881000;3.416000;3.666000;3.081000;3.801000;3.136000;3.836000;2.891000;2.391000;3.066000;2.726000;2.851000;3.221000;4.011000;4.021000;2.446000;3.416000;2.221000;2.216000;2.321000;3.116000;2.336000;2.761000;2.311000;3.271000;2.546000;3.671000;3.411000;2.796000;2.851000;
3.416000;3.981000;4.036000;2.631000;3.996000;5.866000;2.506000;5.246000;3.441000;3.111000;3.286000;5.201000;3.826000;5.356000;3.416000;4.046000;3.116000;3.971000;3.866000;5.021000;2.841000;2.651000;3.206000;3.126000;3.271000;3.106000;4.796000;3.781000;3.386000;2.846000;3.826000;5.241000;2.646000;7.566000;2.711000;3.146000;2.661000;2.821000;5.871000;7.281000;3.401000;5.241000;5.236000;2.301000;4.401000;6.066000;3.681000;2.236000;3.436000;4.946000;6.901000;3.391000;2.721000;5.611000;3.141000;7.601000;3.431000;4.946000;2.666000;2.676000;3.791000;3.431000;2.536000;3.781000;4.421000;7.931000;2.376000;3.106000;3.396000;2.536000;3.416000;3.801000;3.096000;5.876000;4.941000;3.091000;3.111000;3.886000;2.831000;3.286000;2.826000;8.721000;2.816000;3.116000;3.401000;7.541000;3.096000;3.276000;5.151000;3.081000;3.111000;3.401000;8.956000;3.976000;3.416000;3.406000;4.046000;3.846000;3.416000;3.401000;7.566000;3.281000;2.311000;3.791000;2.866000;2.621000;2.891000;3.131000;3.431000;3.981000;5.246000;3.096000;4.766000;3.676000;3.996000;3.591000;4.011000;6.296000;3.276000;3.156000;3.111000;3.091000;2.496000;2.841000;3.796000;2.996000;2.661000;3.826000;3.436000;3.426000;3.151000;3.391000;6.791000;3.451000;3.111000;4.051000;4.796000;3.211000;3.806000;6.696000;2.881000;2.826000;3.851000;3.296000;3.281000;2.836000;3.791000;4.651000;4.931000;2.526000;2.851000;2.716000;6.906000;3.681000;2.881000;3.961000;3.456000;3.211000;4.811000;2.831000;3.456000;6.556000;3.991000;5.196000;6.066000;6.901000;3.276000;3.271000;3.116000;2.681000;5.241000;4.056000;2.831000;3.166000;4.471000;4.021000;3.971000;2.901000;3.416000;3.431000;8.636000;2.841000;3.426000;2.821000;2.831000;3.421000;3.436000;2.786000;4.041000;11.376000;3.161000;2.751000;2.351000;2.896000;2.521000;3.176000;6.346000;2.321000;4.166000;5.246000;12.316000;7.936000;6.231000;3.136000;3.436000;2.621000;6.586000;4.266000;1.981000;3.606000;2.891000;2.796000;4.956000;2.771000;3.981000;3.541000;3.006000;2.836000;2.901000;3.406000;2.886000;4.031000;3.876000;3.126000;3.846000;3.501000;4.576000;3.101000;2.671000;4.401000;2.826000;2.881000;3.531000;4.041000;4.041000;3.301000;3.426000;2.666000;2.311000;2.331000;3.126000;2.446000;2.796000;2.361000;3.286000;3.691000;3.846000;4.626000;2.831000;3.111000;
4.036000;4.026000;4.956000;2.636000;6.701000;7.751000;3.411000;6.216000;4.011000;6.226000;3.691000;5.436000;3.831000;7.971000;4.766000;4.431000;3.266000;4.416000;4.396000;6.911000;2.871000;2.756000;3.256000;3.291000;3.396000;3.386000;6.546000;3.796000;3.811000;3.006000;3.956000;5.581000;2.791000;9.826000;2.821000;3.396000;3.396000;2.841000;6.686000;8.651000;3.841000;8.466000;6.851000;2.496000;4.961000;6.691000;3.691000;2.501000;3.581000;7.401000;7.056000;3.831000;2.836000;6.341000;3.411000;9.461000;3.841000;4.976000;3.136000;2.826000;4.536000;3.441000;2.791000;4.031000;5.441000;8.656000;2.661000;3.126000;4.261000;2.621000;3.816000;5.256000;3.101000;6.556000;5.156000;4.691000;3.136000;7.541000;3.401000;3.816000;2.836000;9.286000;2.821000;3.286000;3.876000;8.171000;3.166000;3.396000;5.206000;3.406000;3.296000;3.616000;9.231000;5.866000;3.456000;3.416000;4.791000;4.766000;3.606000;3.426000;7.571000;3.406000;2.326000;4.646000;2.891000;2.841000;3.116000;3.406000;4.016000;4.036000;5.846000;3.416000;5.206000;3.811000;4.491000;3.806000;4.971000;7.981000;3.406000;3.421000;3.781000;3.121000;2.656000;3.116000;5.261000;3.421000;2.766000;4.951000;3.976000;4.001000;3.451000;3.426000;6.896000;4.501000;3.136000;6.916000;4.811000;3.386000;3.956000;6.701000;3.611000;2.876000;4.946000;3.401000;3.391000;2.886000;3.821000;4.966000;4.956000;2.616000;3.081000;2.821000;7.776000;3.791000;3.206000;4.536000;4.026000;3.391000;4.981000;3.001000;3.696000;8.021000;4.961000;5.386000;6.881000;8.206000;3.801000;3.601000;3.376000;3.106000;6.206000;4.391000;3.136000;3.571000;5.211000;4.691000;5.196000;4.006000;4.001000;3.471000;10.896000;3.281000;3.841000;2.846000;3.106000;3.811000;3.961000;2.901000;4.426000;11.436000;3.291000;3.126000;3.116000;3.576000;2.656000;4.421000;7.921000;2.526000;5.181000;5.251000;12.751000;8.416000;6.916000;3.301000;3.811000;2.726000;6.811000;4.791000;2.556000;3.796000;3.106000;3.116000;5.146000;3.116000;4.966000;4.811000;3.121000;3.156000;3.171000;3.436000;3.001000;5.151000;4.981000;3.806000;4.046000;3.861000;5.881000;3.141000;3.411000;5.206000;3.236000;3.991000;3.781000;5.201000;4.951000;3.461000;3.896000;3.386000;2.431000;2.546000;3.291000;2.846000;2.906000;3.066000;3.461000;3.891000;4.971000;4.806000;2.846000;3.161000;
4.756000;4.956000;4.966000;2.706000;7.566000;8.671000;5.726000;6.236000;4.951000;7.531000;5.196000;6.906000;4.396000;8.141000;5.871000;5.716000;3.401000;5.466000;5.136000;7.286000;3.121000;2.836000;3.381000;3.841000;3.666000;4.631000;6.696000;4.986000;5.156000;3.401000;4.406000;7.976000;2.806000;9.846000;3.131000;3.831000;4.031000;2.846000;6.866000;10.071000;4.041000;8.666000;8.156000;2.516000;5.206000;7.951000;5.191000;3.086000;6.231000;8.171000;7.656000;3.836000;3.161000;6.471000;3.791000;9.851000;4.621000;8.451000;3.436000;2.831000;4.786000;3.826000;2.851000;4.371000;6.861000;9.251000;2.901000;3.266000;4.391000;3.431000;4.751000;5.356000;3.111000;6.581000;5.526000;5.161000;3.211000;7.566000;3.791000;4.171000;4.056000;9.826000;2.831000;3.436000;4.036000;8.586000;3.401000;3.441000;7.556000;3.581000;3.416000;4.951000;11.741000;6.811000;3.791000;3.856000;5.141000;4.971000;3.826000;4.381000;7.741000;3.416000;2.526000;5.181000;3.426000;2.876000;3.396000;3.701000;4.796000;4.401000;6.056000;3.426000;5.211000;3.831000;5.206000;3.881000;5.206000;11.726000;3.411000;3.431000;3.786000;3.281000;2.781000;3.411000;5.351000;3.426000;3.101000;5.586000;4.571000;4.641000;3.786000;3.456000;7.571000;7.526000;3.161000;8.411000;4.986000;3.396000;5.861000;6.711000;3.821000;3.116000;6.676000;3.411000;4.811000;3.036000;3.871000;6.891000;4.981000;2.621000;3.126000;2.836000;10.411000;3.831000;3.671000;4.631000;4.396000;3.801000;6.681000;3.076000;3.796000;8.596000;5.241000;8.041000;7.561000;8.706000;3.941000;3.801000;3.401000;3.216000;7.586000;4.956000;3.281000;3.801000;5.611000;6.896000;6.236000;4.066000;4.031000;3.591000;12.841000;3.406000;4.041000;3.111000;3.421000;4.011000;6.696000;3.111000;5.126000;14.476000;3.596000;3.381000;3.166000;3.831000;3.801000;4.801000;8.666000;2.621000;6.781000;5.256000;13.691000;8.486000;7.556000;3.521000;4.401000;2.901000;7.551000;4.966000;3.836000;3.806000;3.121000;3.806000;5.156000;3.286000;6.051000;4.991000;3.411000;3.216000;3.621000;3.846000;3.121000;6.676000;5.166000;3.841000;4.266000;4.396000;6.906000;3.671000;3.976000;5.221000;3.581000;4.396000;3.836000;6.746000;4.956000;3.596000;5.266000;3.426000;2.791000;2.551000;3.406000;3.091000;3.401000;3.696000;3.701000;3.981000;5.751000;4.946000;3.101000;4.381000;
4.796000;5.211000;5.381000;2.761000;7.966000;8.686000;5.871000;6.896000;5.836000;8.136000;6.676000;8.716000;4.776000;8.706000;6.551000;7.551000;3.776000;6.911000;5.856000;10.411000;3.261000;3.121000;3.396000;4.041000;3.796000;5.251000;6.881000;5.156000;5.531000;3.421000;4.461000;8.426000;2.826000;10.066000;3.411000;3.951000;5.261000;2.886000;7.536000;12.416000;5.131000;9.836000;8.691000;2.831000;5.616000;8.451000;5.781000;4.396000;7.546000;8.686000;8.481000;4.056000;5.021000;9.256000;6.686000;10.891000;4.956000;9.246000;3.621000;2.896000;4.791000;4.061000;2.901000;4.631000;7.556000;9.451000;3.156000;3.416000;4.796000;4.801000;6.901000;5.866000;3.136000;6.786000;6.581000;6.916000;3.676000;7.941000;3.801000;4.801000;4.946000;10.406000;3.421000;3.671000;5.261000;8.721000;3.966000;3.976000;8.666000;3.966000;3.431000;5.191000;12.456000;7.581000;3.836000;5.216000;5.151000;5.146000;4.951000;4.401000;7.951000;3.821000;2.531000;6.896000;4.466000;3.131000;3.401000;3.966000;6.896000;4.766000;6.686000;3.666000;5.246000;4.041000;5.266000;4.041000;5.331000;12.801000;3.691000;3.836000;3.836000;4.531000;5.236000;3.971000;6.051000;3.791000;3.116000;5.771000;5.866000;4.926000;3.796000;3.686000;8.466000;8.176000;3.266000;8.726000;5.101000;3.801000;6.701000;7.536000;3.886000;3.141000;8.716000;3.436000;5.241000;3.081000;4.031000;6.896000;6.696000;3.131000;3.401000;2.901000;12.576000;7.386000;3.851000;4.691000;6.061000;3.976000;6.906000;3.106000;3.986000;8.631000;5.296000;8.216000;9.276000;9.826000;3.956000;3.836000;3.421000;3.401000;8.401000;4.971000;3.401000;3.861000;7.546000;6.906000;6.576000;4.966000;6.076000;5.211000;13.651000;3.416000;4.046000;3.131000;3.601000;4.676000;7.986000;3.281000;5.196000;15.491000;3.686000;3.771000;3.171000;5.596000;3.971000;5.221000;8.681000;2.651000;6.856000;5.276000;14.171000;9.266000;7.781000;3.791000;4.651000;3.116000;7.941000;6.306000;5.026000;4.011000;3.266000;4.171000;5.271000;3.401000;6.101000;5.156000;3.841000;3.281000;3.836000;4.696000;3.211000;6.846000;7.476000;5.156000;4.636000;6.861000;7.791000;4.771000;3.986000;5.251000;3.846000;4.961000;4.801000;6.911000;7.961000;3.791000;5.871000;3.601000;3.211000;2.656000;3.411000;3.296000;3.421000;3.836000;3.986000;4.481000;5.841000;4.951000;3.106000;4.806000;
4.951000;6.051000;6.701000;2.826000;8.171000;9.461000;6.906000;8.391000;6.056000;8.676000;6.871000;9.236000;4.961000;9.271000;6.916000;7.946000;4.261000;7.051000;6.071000;10.916000;3.406000;3.136000;3.831000;5.146000;4.971000;5.856000;6.901000;6.901000;6.806000;3.596000;4.536000;8.646000;2.836000;12.456000;3.421000;4.961000;6.691000;3.136000;7.741000;14.521000;6.061000;9.876000;8.701000;2.866000;6.481000;9.086000;5.876000;4.766000;8.101000;8.721000;9.271000;4.801000;5.251000;11.406000;8.176000;11.431000;5.216000;9.271000;3.666000;3.146000;5.456000;4.961000;3.431000;4.796000;8.126000;13.181000;3.396000;3.431000;4.961000;5.001000;7.556000;6.076000;4.646000;9.261000;7.536000;7.651000;3.826000;7.951000;3.866000;4.941000;5.821000;11.436000;3.461000;3.826000;6.896000;10.896000;4.036000;4.041000;9.451000;4.681000;3.786000;8.196000;14.241000;8.126000;4.786000;6.561000;6.076000;5.151000;5.146000;4.631000;7.996000;3.971000;2.621000;8.601000;4.956000;3.271000;3.776000;3.991000;7.561000;5.246000;6.791000;3.786000;5.596000;4.386000;6.201000;4.801000;6.681000;12.831000;3.786000;4.021000;3.996000;4.636000;5.361000;4.071000;6.081000;3.806000;3.281000;6.041000;6.701000;5.156000;4.021000;4.566000;8.476000;11.831000;3.666000;12.406000;7.526000;3.821000;7.981000;8.441000;3.986000;3.396000;9.256000;4.441000;6.906000;3.846000;4.956000;7.961000;7.566000;3.796000;3.946000;3.121000;12.761000;7.521000;3.861000;5.361000;6.776000;4.026000;7.551000;3.111000;5.191000;9.086000;6.346000;9.106000;10.411000;9.831000;4.951000;3.846000;3.426000;3.411000;8.701000;4.981000;3.846000;4.436000;7.551000;7.781000;6.696000;5.151000;6.451000;5.591000;15.211000;3.786000;4.396000;3.161000;3.811000;4.946000;8.206000;3.421000;6.696000;15.536000;3.786000;3.821000;3.286000;8.636000;4.066000;6.891000;8.691000;2.841000;6.876000;6.781000;14.471000;10.026000;8.186000;3.816000;5.161000;3.806000;8.636000;6.691000;5.251000;4.071000;3.401000;5.146000;5.616000;3.666000;6.306000;5.186000;4.786000;3.401000;3.896000;6.701000;3.806000;7.556000;8.651000;5.161000;4.971000;7.091000;8.191000;5.011000;4.046000;5.846000;3.976000;5.156000;5.601000;7.081000;8.961000;5.061000;6.331000;3.681000;3.401000;3.426000;3.801000;3.396000;3.441000;4.406000;4.686000;4.691000;6.336000;5.156000;3.286000;6.891000;
6.571000;6.771000;6.901000;3.101000;8.196000;10.906000;7.516000;8.451000;6.071000;9.291000;7.591000;9.971000;5.156000;9.741000;7.161000;7.961000;4.791000;8.646000;7.476000;11.721000;3.436000;3.156000;3.841000;5.611000;6.701000;6.671000;6.916000;6.906000;7.156000;3.681000;4.681000;9.971000;3.101000;15.186000;3.436000;5.161000;6.761000;3.146000;8.706000;16.721000;6.691000;13.171000;9.271000;3.066000;6.866000;10.886000;7.491000;7.771000;8.726000;9.071000;9.821000;5.146000;5.351000;12.766000;8.201000;11.751000;5.271000;9.971000;3.831000;3.221000;7.566000;4.981000;3.686000;5.201000;8.636000;14.256000;3.416000;3.661000;5.136000;5.371000;7.786000;6.811000;4.796000;9.456000;7.956000;8.176000;3.841000;8.136000;4.016000;5.141000;6.861000;13.651000;3.836000;3.846000;7.526000;12.426000;5.201000;4.626000;9.711000;4.791000;3.861000;8.706000;14.486000;8.146000;4.976000;6.801000;6.671000;5.571000;5.246000;5.131000;8.116000;5.206000;2.881000;8.961000;4.961000;3.411000;3.796000;4.681000;8.091000;6.791000;7.556000;3.791000;6.691000;4.411000;6.911000;4.976000;6.911000;12.926000;3.836000;4.771000;4.951000;5.376000;6.686000;4.376000;6.301000;3.961000;5.361000;6.056000;8.471000;5.176000;4.951000;4.966000;8.646000;11.896000;3.816000;12.441000;8.191000;4.951000;8.421000;8.461000;4.466000;3.426000;10.066000;4.961000;7.756000;4.036000;5.201000;9.471000;7.571000;3.966000;3.951000;3.496000;12.816000;8.096000;4.976000;6.916000;6.861000;4.046000;7.771000;3.401000;6.061000;9.971000;7.926000;10.036000;11.641000;10.921000;8.586000;3.991000;3.666000;3.696000;9.081000;5.586000;4.051000;4.971000;8.591000;7.956000;7.531000;5.446000;6.681000;8.141000;17.521000;3.841000;4.781000;3.396000;4.946000;5.141000;9.461000;5.146000;7.571000;15.851000;3.856000;4.006000;3.381000;8.986000;4.996000;7.471000;9.101000;2.851000;7.546000;7.391000;20.751000;11.716000;8.221000;4.371000;6.306000;6.071000;8.671000;6.906000;6.901000;4.791000;3.621000;5.161000;5.836000;3.791000;6.331000;8.011000;6.556000;3.431000;4.371000;7.796000;3.831000;7.796000;9.111000;5.456000;5.106000;8.201000;8.636000;5.206000;4.071000;6.811000;7.771000;5.201000;6.706000;7.971000;9.236000;6.781000;6.771000;3.806000;3.691000;3.831000;4.001000;4.176000;3.671000;5.211000;5.266000;4.951000;6.341000;5.211000;3.411000;6.906000;
